Year,Host,Stage,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team
2018,Russia,Group Stage,Australia,Peru,0,2,Peru,Australia
2018,Russia,Group Stage,Denmark,France,0,0,Draw,Draw
2018,Russia,Group Stage,Nigeria,Argentina,1,2,Argentina,Nigeria
2018,Russia,Group Stage,Iceland,Croatia,1,2,Croatia,Iceland
2018,Russia,Group Stage,South Korea,Germany,2,0,South Korea,Germany
2018,Russia,Group Stage,Mexico,Sweden,0,3,Sweden,Mexico
2018,Russia,Group Stage,Serbia,Brazil,0,2,Brazil,Serbia
2018,Russia,Group Stage,Switzerland,Costa Rica,2,2,Draw,Draw
2018,Russia,Group Stage,Japan,Poland,0,1,Poland,Japan
2018,Russia,Group Stage,Senegal,Colombia,0,1,Colombia,Senegal
2018,Russia,Group Stage,Panama,Tunisia,1,2,Tunisia,Panama
2018,Russia,Group Stage,England,Belgium,0,1,Belgium,England
2018,Russia,Round of 16,France,Argentina,4,3,France,Argentina
2018,Russia,Round of 16,Uruguay,Portugal,2,1,Uruguay,Portugal
2018,Russia,Round of 16,Russia,Spain,1,1,Russia,Spain
2018,Russia,Round of 16,Croatia,Denmark,1,1,Croatia,Denmark
2018,Russia,Round of 16,Brazil,Mexico,2,0,Brazil,Mexico
2018,Russia,Round of 16,Belgium,Japan,3,2,Belgium,Japan
2018,Russia,Round of 16,Sweden,Switzerland,1,0,Sweden,Switzerland
2018,Russia,Round of 16,Colombia,England,1,1,England,Columbia
2018,Russia,Quarterfinals,Uruguay,France,0,2,France,Uruguay
2018,Russia,Quarterfinals,Brazil,Belgium,1,2,Belgium,Brazil
2018,Russia,Quarterfinals,Sweden,England,0,2,England,Sweden
2018,Russia,Quarterfinals,Russia,Croatia,2,2,Croatia,Russia
2018,Russia,Semifinals,France,Belgium,1,0,France,Belgium
2018,Russia,Semifinals,Croatia,England,2,1,Croatia,England
2018,Russia,Third place,Belgium,England,2,0,Belgium,England
2018,Russia,Final,France,Croatia,4,2,France,Croatia
2022,Qatar,Group Stage,Qatar,Ecuador,0,2,Ecuador,Qatar
2022,Qatar,Group Stage,England,Iran,6,2,England,Iran
2022,Qatar,Group Stage,Senegal,Netherlands,0,2,Netherlands,Senegal
2022,Qatar,Group Stage,USA,Wales,1,1,Draw,Draw
2022,Qatar,Group Stage,Argentina,Saudi Arabia,1,2,Saudi Arabia,Argentina
2022,Qatar,Group Stage,Denmark,Tunisia,0,0,Draw,Draw
2022,Qatar,Group Stage,Mexico,Poland,0,0,Draw,Draw
2022,Qatar,Group Stage,France,Australia,4,1,France,Australia
2022,Qatar,Group Stage,Morocco,Croatia,0,0,Draw,Draw
2022,Qatar,Group Stage,Germany,Japan,1,2,Japan,Germany
2022,Qatar,Group Stage,Spain,Costa Rica,7,0,Spain,Costa Rica
2022,Qatar,Group Stage,Belgium,Canada,1,0,Belgium,Canada
2022,Qatar,Group Stage,Switzerland,Cameroon,1,0,Switzerland,Cameroon
2022,Qatar,Group Stage,Uruguay,South Korea,0,0,Draw,Draw
2022,Qatar,Group Stage,Portugal,Ghana,3,2,Portugal,Ghana
2022,Qatar,Group Stage,Brazil,Serbia,2,0,Brazil,Serbia
2022,Qatar,Group Stage,Wales,Iran,0,2,Iran,Wales
2022,Qatar,Group Stage,Qatar,Senegal,1,3,Senegal,Qatar
2022,Qatar,Group Stage,Netherlands,Ecuador,1,1,Draw,Draw
2022,Qatar,Group Stage,England,USA,0,0,Draw,Draw
2022,Qatar,Group Stage,Tunisia,Australia,0,1,Australia,Tunisia
2022,Qatar,Group Stage,Poland,Saudi Arabia,2,0,Poland,Saudi Arabia
2022,Qatar,Group Stage,France,Denmark,2,1,France,Denmark
2022,Qatar,Group Stage,Argentina,Mexico,2,0,Argentina,Mexico
2022,Qatar,Group Stage,Japan,Costa Rica,0,1,Costa Rica,Japan
2022,Qatar,Group Stage,Belgium,Morocco,0,2,Morocco,Belgium
2022,Qatar,Group Stage,Croatia,Canada,4,1,Croatia,Canada
2022,Qatar,Group Stage,Spain,Germany,1,1,Draw,Draw
2022,Qatar,Group Stage,Cameroon,Serbia,3,3,Draw,Draw
2022,Qatar,Group Stage,South Korea,Ghana,2,3,Ghana,South Korea
2022,Qatar,Group Stage,Brazil,Switzerland,1,0,Brazil,Switzerland
2022,Qatar,Group Stage,Portugal,Uruguay,2,0,Portugal,Uruguay
2022,Qatar,Group Stage,Ecuador,Senegal,1,2,Senegal,Ecuador
2022,Qatar,Group Stage,Netherlands,Qatar,2,0,Netherlands,Qatar
2022,Qatar,Group Stage,Iran,USA,0,1,USA,Iran
2022,Qatar,Group Stage,Wales,England,0,3,England,Wales
2022,Qatar,Group Stage,Tunisia,France,1,0,Tunisia,France
2022,Qatar,Group Stage,Australia,Denmark,1,0,Australia,Denmark
2022,Qatar,Group Stage,Poland,Argentina,0,2,Argentina,Poland
2022,Qatar,Group Stage,Saudi Arabia,Mexico,1,2,Mexico,Saudi Arabia
2022,Qatar,Group Stage,Croatia,Belgium,0,0,Draw,Draw
2022,Qatar,Group Stage,Canada,Morocco,1,2,Morocco,Canada
2022,Qatar,Group Stage,Japan,Spain,2,1,Japan,Spain
2022,Qatar,Group Stage,Costa Rica,Germany,2,4,Germany,Costa Rica
2022,Qatar,Group Stage,South Korea,Portugal,2,1,South Korea,Portugal
2022,Qatar,Group Stage,Ghana,Uruguay,0,2,Uruguay,Ghana
2022,Qatar,Group Stage,Serbia,Switzerland,2,3,Switzerland,Serbia
2022,Qatar,Group Stage,Cameroon,Brazil,1,0,Cameroon,Brazil
2022,Qatar,Round of 16,Netherlands,USA,3,1,Netherlands,USA
2022,Qatar,Round of 16,Argentina,Australia,2,1,Argentina,Australia
2022,Qatar,Round of 16,France,Poland,3,1,France,Poland
2022,Qatar,Round of 16,England,Senegal,3,0,England,Senegal
2022,Qatar,Round of 16,Japan,Croatia,1,1,Croatia,Japan
2022,Qatar,Round of 16,Brazil,South Korea,4,1,Brazil,South Korea
2022,Qatar,Round of 16,Morocco,Spain,0,0,Morocco,Spain
2022,Qatar,Round of 16,Portugal,Switzerland,6,1,Portugal,Switzerland
2022,Qatar,Quarterfinals,Croatia,Brazil,1,1,Croatia,Brazil
2022,Qatar,Quarterfinals,Netherlands,Argentina,2,2,Argentina,Netherlands
2022,Qatar,Quarterfinals,Morocco,Portugal,1,0,Morocco,Portugal
2022,Qatar,Quarterfinals,England,France,1,2,France,England
2022,Qatar,Semifinals,Argentina,Croatia,3,0,Argentina,Croatia
2022,Qatar,Semifinals,France,Morocco,2,0,France,Morocco
2022,Qatar,Third Place,Croatia,Morocco,2,1,Croatia,Morocco
2022,Qatar,Final,Argentina,France,3,3,Argentina,France
